Tahun,Kode_Reporter,Negara_Reporter,Kode_Mitra,Negara_Mitra,Kode_Arus,Arus_Perdagangan,Kode_HS,Nama_Barang,Satuan_Kuantitas,Kuantitas,Berat_Bersih_Kg,Nilai_Impor_USD,Dilaporkan_Langsung
2024,360,Indonesia,156,China,M,Import,842539,Winches; capstans; not powered by an electric motor,N/A,0.0,2189574.0,9907705.0,True
2024,360,Indonesia,156,China,M,Import,850120,Electric motors; universal AC/DC of an output exceeding 37.5W,N/A,0.0,4541658.0,9695503.0,True
2024,360,Indonesia,156,China,M,Import,846410,"Machine-tools; sawing machines, for working stone, ceramics, concrete, asbestos-cement or like mineral materials or for cold working glass",N/A,0.0,1236462.0,9681809.0,True
2024,360,Indonesia,156,China,M,Import,854160,Crystals; mounted piezo-electric,N/A,0.0,54522.0,9653573.0,True
2024,360,Indonesia,156,China,M,Import,901813,"Medical, surgical instruments and appliances; magnetic resonance imaging apparatus",N/A,0.0,138193.0,9031978.0,True
2024,360,Indonesia,156,China,M,Import,842330,"Weighing machines; constant weight scales and scales for discharging a predetermined weight of material into a bag or container, including hopper scales",N/A,0.0,2311457.0,8696053.0,True
2024,360,Indonesia,156,China,M,Import,847529,"Machines; for manufacturing or hot working glass or glassware, not for making optical fibres and preforms thereof",N/A,0.0,985700.0,8556661.0,True
2024,360,Indonesia,156,China,M,Import,841720,"Ovens; non-electric, bakery ovens, including biscuit ovens",N/A,0.0,2081454.0,8051481.0,True
2024,360,Indonesia,156,China,M,Import,846310,"Machine-tools; for working metal, sintered metal carbides or cermets, without removing material, draw-benches for bars, tubes, profiles, wire or the like",N/A,0.0,1442794.0,7879726.0,True
2024,360,Indonesia,156,China,M,Import,852419,"Flat panel display modules, whether or not incorporating touch-sensitive screens; of other than liquid crystals or organic light-emitting diodes (OLED), without drivers or control circuits",N/A,0.0,393769.0,7829111.0,True
2024,360,Indonesia,156,China,M,Import,910700,"Time switches; with clock, watch movement or synchronous motor",N/A,0.0,1200859.0,7732806.0,True
2024,360,Indonesia,156,China,M,Import,848610,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,N/A,0.0,659315.0,7539650.0,True
2024,360,Indonesia,156,China,M,Import,846232,"Machine-tools; slitting lines and cut-to-length lines, for working metal",N/A,0.0,1617939.0,7531015.0,True
2024,360,Indonesia,156,China,M,Import,846596,"Machine-tools; for working wood, cork, bone, hard rubber, hard plastics or similar hard materials; splitting, slicing or paring machines",N/A,0.0,2768804.0,7331477.0,True
2024,360,Indonesia,156,China,M,Import,840820,"Engines; compression-ignition internal combustion piston engines (diesel or semi-diesel engines), of a kind used for the propulsion of vehicles of chapter 87",N/A,0.0,516666.0,7138954.0,True
2024,360,Indonesia,156,China,M,Import,846290,"Machine-tools; (including presses) for working metal by forging, hammering or die-forging, for bending, folding, straightening, flattening, shearing, punching, notching or nibbling metal, n.e.c. in heading 8462",N/A,0.0,1475976.0,7092240.0,True
2024,360,Indonesia,156,China,M,Import,848220,"Bearings; tapered roller bearings, including cone and tapered roller assemblies",N/A,0.0,953907.0,6983643.0,True
2024,360,Indonesia,156,China,M,Import,871310,Carriages for disabled persons; not mechanically propelled,N/A,0.0,2504454.0,6853892.0,True
2024,360,Indonesia,156,China,M,Import,846591,"Machine-tools; for working wood, cork, bone, hard rubber, hard plastics or similar hard materials; sawing machines",N/A,0.0,1506095.0,6020678.0,True
2024,360,Indonesia,156,China,M,Import,901780,Mathematical instruments and equipment; n.e.c. in heading no. 9017,N/A,0.0,2375086.0,5265706.0,True
2024,360,Indonesia,156,China,M,Import,842699,"Cranes and derricks; for other than mounting on road vehicles, n.e.c. in heading no. 8426",N/A,0.0,1328170.0,5188339.0,True
2024,360,Indonesia,156,China,M,Import,841920,"Sterilizers; for medical, surgical or laboratory use, not used for domestic purposes",N/A,0.0,323757.0,5094072.0,True
2024,360,Indonesia,156,China,M,Import,851519,"Brazing or soldering machines and apparatus; other than soldering irons and guns, whether or not capable of cutting",N/A,0.0,1162975.0,4927278.0,True
2024,360,Indonesia,156,China,M,Import,851180,"Ignition or starting equipment; n.e.c. in heading no. 8511, of a kind used for spark or compression-ignition internal combustion engines",N/A,0.0,1493000.0,4825092.0,True
2024,360,Indonesia,156,China,M,Import,844621,"Weaving machines (looms); for weaving fabrics of a width exceeding 30cm, shuttle type, power looms",N/A,0.0,877710.0,4533886.0,True
2024,360,Indonesia,156,China,M,Import,845929,"Machine-tools; for drilling by removing metal, other than numerically controlled",N/A,0.0,1246476.0,4474074.0,True
2024,360,Indonesia,156,China,M,Import,902730,"Spectrometers, spectrophotometers and spectrographs; using optical radiations (UV, visible, IR)",N/A,0.0,70455.0,4241347.0,True
2024,360,Indonesia,156,China,M,Import,401219,"Retreaded tyres; other than of a kind used on motor cars (including station wagons and racing cars), buses and lorries and aircraft",N/A,0.0,5245661.0,4125158.0,True
2024,360,Indonesia,156,China,M,Import,841933,"Dryers; lyophilisation apparatus, freeze drying units and spray dryers, not used for domestic purposes",N/A,0.0,998975.0,4040177.0,True
2024,360,Indonesia,156,China,M,Import,844311,"Printing machinery; offset, reel-fed",N/A,0.0,296358.0,4027464.0,True
2024,360,Indonesia,156,China,M,Import,846219,"Machine-tools; hot forming machines, hot hammers, for working metal",N/A,0.0,1115944.0,3865929.0,True
2024,360,Indonesia,156,China,M,Import,843352,Threshing machinery; other than combine harvester-threshers,N/A,0.0,644655.0,3451844.0,True
2024,360,Indonesia,156,China,M,Import,851621,Heating apparatus; electric storage heating radiators,N/A,0.0,53843.0,3420336.0,True
2024,360,Indonesia,156,China,M,Import,850132,"Electric motors and generators; DC, of an output exceeding 750W but not exceeding 75kW",N/A,0.0,600507.0,3126128.0,True
2024,360,Indonesia,156,China,M,Import,890790,"Floating structures; tanks, coffer-dams, landing stages, buoys and beacons",N/A,0.0,1070833.0,3114156.0,True
2024,360,Indonesia,156,China,M,Import,846242,"Machine-tools; punching, notching or nibbling machines (excluding presses) for flat products including combined punching and shearing machines, numerically controlled, for working metal",N/A,0.0,725360.0,2949139.0,True
